,date,open,high,low,close,volume
0,2019-07-05 12:00:00,0.00449,0.0046,0.00376,0.0038104,811186787.0
1,2019-07-05 12:30:00,0.0038229,0.0039249,0.003782,0.0039249,138243937.0
2,2019-07-05 13:00:00,0.0039153,0.0039284,0.003765,0.0037791,83230820.0
3,2019-07-05 13:30:00,0.0037791,0.003885,0.0037663,0.0038353,75773447.0
4,2019-07-05 14:00:00,0.003845,0.00392,0.0038139,0.0038637,62066814.0
5,2019-07-05 14:30:00,0.0038748,0.0038914,0.0038299,0.0038413,43450246.0
6,2019-07-05 15:00:00,0.0038373,0.0038689,0.0037627,0.0037627,39207179.0
7,2019-07-05 15:30:00,0.0037627,0.0038237,0.00371,0.0037379,61597549.0
8,2019-07-05 16:00:00,0.0037276,0.0037338,0.0036434,0.0036948,74503046.0
9,2019-07-05 16:30:00,0.0036972,0.0037148,0.0036364,0.0036664,45758033.0
10,2019-07-05 17:00:00,0.003659,0.00368,0.00355,0.0035996,64864550.0
11,2019-07-05 17:30:00,0.0036,0.0036726,0.0035767,0.0036276,83410372.0
12,2019-07-05 18:00:00,0.0036216,0.0037306,0.0035792,0.003687,42579793.0
13,2019-07-05 18:30:00,0.0036246,0.003687,0.0036,0.00364,16367662.0
14,2019-07-05 19:00:00,0.0036388,0.0037,0.0036353,0.0036622,19003613.0
15,2019-07-05 19:30:00,0.0036604,0.0037236,0.0036604,0.0036881,54097339.0
16,2019-07-05 20:00:00,0.0036883,0.0037383,0.0036882,0.0037237,16765912.0
17,2019-07-05 20:30:00,0.0037151,0.0037383,0.0036237,0.0037109,25611163.0
18,2019-07-05 21:00:00,0.0037109,0.00375,0.0036906,0.0037407,17155399.0
19,2019-07-05 21:30:00,0.0037421,0.003779,0.0036767,0.0037101,28631108.0
20,2019-07-05 22:00:00,0.0037111,0.0037788,0.00369,0.0037527,32454908.0
21,2019-07-05 22:30:00,0.0037612,0.0037612,0.0037101,0.0037431,16137569.0
22,2019-07-05 23:00:00,0.0037431,0.0037631,0.0037133,0.0037631,17978720.0
23,2019-07-05 23:30:00,0.0037665,0.0038736,0.0037601,0.0038701,58221694.0
24,2019-07-06 00:00:00,0.0038741,0.0039426,0.0038473,0.0038618,77887006.0
25,2019-07-06 00:30:00,0.0038596,0.0038681,0.0037637,0.0038186,52267059.0
26,2019-07-06 01:00:00,0.0038187,0.0038427,0.003704,0.0037745,41848996.0
27,2019-07-06 01:30:00,0.0037538,0.0038181,0.0037272,0.0037471,26896348.0
28,2019-07-06 02:00:00,0.0037394,0.0038065,0.0037108,0.0038065,33342932.0
29,2019-07-06 02:30:00,0.0038025,0.0038118,0.0037334,0.0037404,18445750.0
30,2019-07-06 03:00:00,0.0037404,0.0037477,0.003715,0.0037352,12680005.0
31,2019-07-06 03:30:00,0.0037315,0.00377,0.003731,0.003767,15742315.0
32,2019-07-06 04:00:00,0.0037674,0.0038127,0.0037477,0.0037812,21002950.0
33,2019-07-06 04:30:00,0.0037825,0.0037926,0.003742,0.0037449,12714634.0
34,2019-07-06 05:00:00,0.0037449,0.0037597,0.0037151,0.0037373,11795270.0
35,2019-07-06 05:30:00,0.0037307,0.0037524,0.0037,0.003707,8942953.0
36,2019-07-06 06:00:00,0.0037039,0.0037618,0.0037,0.0037314,26406825.0
37,2019-07-06 06:30:00,0.0037292,0.0037451,0.0036236,0.0036409,28067626.0
38,2019-07-06 07:00:00,0.0036475,0.0037272,0.00361,0.0037049,30906789.0
